[2025-03-07 10:42:35 +0000] [5966] [INFO] Using worker: sync
[2025-03-07 10:42:35 +0000] [5978] [INFO] Booting worker with pi[2025-03-07 10:42:35 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:35 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:36 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:38 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:38 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:38 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:38 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:38 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:39 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:39 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:39 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:39 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:39 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:40 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:40 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:40 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:40 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:40 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:40 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:41 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:41 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:41 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:41 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:41 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:41 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:42 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:42 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:42 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:42 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:42 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:43 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:43 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:43 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:43,426] ERROR in for4payments: Erro ao processar pagamento: Erro ao processar pagamento.
Erro ao gerar PIX: Erro ao processar pagamento.
[2025-03-07 10:42:43 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:43 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:43 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:43 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:43 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:44 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:44 +0000] [5966] [INFO] Handling signal: winch
[2025-03-07 10:42:44 +0000] [5966] [INFO] Handling signal: winch
